fighter,date_of_birth,tuf,r2ufc,dwcs,pride,sf,wec,bmf,hof,country,gender,weightclass,current_rank,rank_flag,current_p4p,p4p_flag,peak_rank,peak_p4p,bouts,wins,win_types,losses,loss_types,streak,best_streak,bonus,slot,elo,peak_elo,opp_elo,debut,debut_result,prev_bout,prev_result,next_date,next_opp
Cam Rowston,1995-01-19,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Australia,male,middleweight,16,NA,16,NA,16,16,3,3,2 KO 0 Sub 1 Dec,0,0 KO 0 Sub 0 Dec,3,3,0,7,2887,2887,2688,2025-09-28,W - Andre Petroski,2026-05-02,W - Robert Bryczek,NA,NA
Sean Woodson,1992-06-07,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,featherweight,16,NA,16,NA,16,16,10,7,2 KO 0 Sub 5 Dec,2,1 KO 1 Sub 0 Dec,-1,4,0,8.1,2882,3023,2716,2019-10-18,W - Kyle Bochniak,2025-04-12,L - Dan Ige,NA,NA
Jamall Emmers,1989-07-24,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,featherweight,16,NA,16,NA,16,16,9,5,2 KO 0 Sub 3 Dec,4,1 KO 1 Sub 2 Dec,2,2,0,9.4,2878,2878,2692,2020-03-07,L - Giga Chikadze,2025-11-08,W - Hyder Amil,NA,NA
Jai Herbert,1988-05-13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"United Kingdom, England, Jamaica",male,lightweight,16,NA,16,NA,16,16,10,4,2 KO 0 Sub 2 Dec,5,2 KO 1 Sub 2 Dec,1,1,0,8.4,2878,2878,2787,2020-07-25,L - Francisco Trinaldo,2026-04-18,W - Mandel Nallo,NA,NA
Javier Reyes,1993-10-10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Colombia,male,featherweight,16,NA,16,NA,16,16,1,1,1 KO 0 Sub 0 Dec,0,0 KO 0 Sub 0 Dec,1,1,0,10,2877,2877,2830,2026-02-28,W - Douglas Silva de Andrade,2026-02-28,W - Douglas Silva de Andrade,NA,NA
Felipe Lima,1998-05-07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Brazil, Sweden",male,"bantamweight, featherweight",16,NA,16,NA,16,16,3,2,0 KO 1 Sub 1 Dec,1,0 KO 0 Sub 1 Dec,-1,2,1,7.3,2876,3045,2875,2024-06-22,W - Muhammad Naimov,2025-06-28,L - Payton Talbott,NA,NA
Chris Gutierrez,1991-04-22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Colombia, Guatemala, United States",male,"bantamweight, featherweight",16,NA,16,NA,12,16,15,10,3 KO 0 Sub 7 Dec,4,0 KO 1 Sub 3 Dec,-1,4,1,8.1,2871,3005,2789,2018-11-30,L - Raoni Barcelos,2025-10-04,L - Farid Basharat,NA,NA
Dan Ige,1991-08-06,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,featherweight,16,NA,16,NA,8,16,21,11,5 KO 1 Sub 5 Dec,10,1 KO 0 Sub 9 Dec,-2,6,4,4.6,2871,3091,2967,2018-01-20,L - Julio Arce,2026-02-21,L - Melquizael Costa,NA,NA
Kelvin Gastelum,1991-10-24,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Mexico, United States",male,middleweight,16,NA,16,NA,3,16,26,14,3 KO 2 Sub 9 Dec,11,0 KO 4 Sub 7 Dec,-1,5,7,3,2869,3269,3004,2013-04-13,W - Uriah Hall,2026-04-11,L - Vicente Luque,NA,NA
Yousri Belgaroui,1992-06-02,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Netherlands, Tunisia",male,middleweight,16,NA,16,NA,16,16,2,2,2 KO 0 Sub 0 Dec,0,0 KO 0 Sub 0 Dec,2,2,0,8.5,2869,2869,2907,2025-10-18,W - Azamat Bekoev,2026-03-28,W - Mansur Abdul-Malik,NA,NA
Ryan Spann,1991-08-24,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,heavyweight,16,NA,16,NA,8,16,16,10,4 KO 4 Sub 2 Dec,6,3 KO 2 Sub 1 Dec,2,4,4,5.6,2866,3083,2816,2018-09-22,W - Luis Henrique Barbosa,2026-04-25,W - Marcus Buchecha,NA,NA
Mike Davis,1992-10-07,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,lightweight,16,NA,16,NA,16,16,7,5,2 KO 1 Sub 2 Dec,2,0 KO 1 Sub 1 Dec,1,4,1,8.3,2865,2898,2767,2019-04-27,L - Gilbert Burns,2025-07-12,W - Mitch Ramirez,NA,NA
Cody Garbrandt,1991-07-07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,bantamweight,16,NA,16,NA,-1,5,17,10,6 KO 0 Sub 4 Dec,7,4 KO 1 Sub 2 Dec,1,6,4,4.7,2864,3147,2883,2015-01-03,W - Marcus Brimage,2026-03-07,W - Xiao Long,2026-07-11,Adrian Yanez
Modestas Bukauskas,1994-02-10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"United Kingdom, England, Lithuania",male,light heavyweight,16,NA,16,NA,16,16,12,7,3 KO 1 Sub 3 Dec,5,4 KO 0 Sub 1 Dec,-1,4,1,7.5,2864,2984,2741,2020-07-15,W - Andreas Michailidis,2026-01-24,L - Nikita Krylov,2026-05-16,Rodolfo Bellato
Jacob Malkoun,1995-08-26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Australia,male,middleweight,16,NA,16,NA,16,16,9,6,1 KO 0 Sub 5 Dec,3,1 KO 0 Sub 1 Dec,3,3,0,7.8,2863,2863,2655,2020-10-24,L - Phil Hawes,2026-05-02,W - Gerald Meerschaert,NA,NA
Josh Emmett,1985-03-04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,featherweight,16,NA,16,NA,3,16,17,10,4 KO 0 Sub 6 Dec,7,2 KO 2 Sub 3 Dec,-3,5,5,4.2,2862,3240,2977,2016-05-08,W - Jon Tuck,2026-03-14,L - Kevin Vallejos,NA,NA
Wang Cong,1992-05-15,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,China,female,women's flyweight,12,NA,16,NA,11,16,5,4,1 KO 0 Sub 3 Dec,1,0 KO 1 Sub 0 Dec,3,3,0,8.8,2862,2862,2604,2024-08-24,W - Victoria Leonardo,2026-02-07,W - Eduarda Moura,NA,NA
Trey Ogden,1989-11-14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,lightweight,16,NA,16,NA,16,16,7,3,0 KO 0 Sub 3 Dec,3,0 KO 0 Sub 3 Dec,-1,2,0,10,2861,3011,2836,2022-04-16,L - Jordan Leavitt,2025-01-11,L - Thiago Moises,NA,NA
Tim Elliott,1986-12-24,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"flyweight, bantamweight",12,NA,16,NA,5,16,22,10,0 KO 3 Sub 7 Dec,12,0 KO 5 Sub 7 Dec,-1,2,6,6.5,2860,3006,2759,2012-05-05,L - John Dodson,2026-05-02,L - Steve Erceg,NA,NA
Da'Mon Blackshear,1994-08-12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,bantamweight,16,NA,16,NA,16,16,10,5,1 KO 3 Sub 1 Dec,4,1 KO 0 Sub 3 Dec,-1,3,2,9.4,2860,2985,2785,2022-08-13,D - Youssef Zalal,2025-07-26,L - Davey Grant,NA,NA
Nasrat Haqparast,1995-08-22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Afghanistan, Germany",male,lightweight,16,NA,16,NA,16,16,15,10,2 KO 0 Sub 8 Dec,5,2 KO 0 Sub 3 Dec,-1,5,4,6.4,2860,2995,2766,2017-10-21,L - Marcin Held,2025-10-25,L - Quillan Salkilld,NA,NA
Ignacio Bahamondes,1997-08-27,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Chile,male,lightweight,16,NA,16,NA,15,16,10,6,3 KO 2 Sub 1 Dec,4,0 KO 0 Sub 4 Dec,-2,3,5,6.4,2856,3104,2855,2021-04-10,L - John Makdessi,2026-03-28,L - Tofiq Musayev,NA,NA
Santiago Ponzinibbio,1986-09-26,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Argentina,male,welterweight,16,NA,16,NA,7,16,20,12,7 KO 0 Sub 5 Dec,8,4 KO 0 Sub 4 Dec,-1,7,6,3.8,2855,3262,2852,2013-11-09,L - Ryan LaFlare,2025-05-03,L - Daniel Rodriguez,NA,NA
Aliaskhab Khizriev,1990-08-24,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Russia,male,middleweight,16,NA,16,NA,16,16,2,1,0 KO 1 Sub 0 Dec,0,0 KO 0 Sub 0 Dec,0,1,0,7,2855,2855,2711,2022-03-26,W - Denis Tiuliulin,2024-02-03,NC - Makhmud Muradov,NA,NA
Ailin Perez,1994-10-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Argentina,female,women's bantamweight,6,NA,16,NA,6,16,7,6,0 KO 1 Sub 5 Dec,1,0 KO 1 Sub 0 Dec,6,6,0,11,2855,2855,2507,2022-09-03,L - Stephanie Egger,2026-02-28,W - Macy Chiasson,NA,NA
Kai Asakura,1993-10-31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Japan,male,"bantamweight, flyweight",16,NA,16,NA,14,16,2,0,0 KO 0 Sub 0 Dec,2,0 KO 2 Sub 0 Dec,-2,-1,0,3,2854,2989,2890,2024-12-07,L - Alexandre Pantoja,2025-08-16,L - Tim Elliott,2026-05-30,Cameron Smotherman
Iasmin Lucindo,2002-01-08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,female,women's strawweight,16,NA,16,NA,7,16,7,5,0 KO 1 Sub 4 Dec,2,0 KO 0 Sub 2 Dec,1,4,1,4.6,2852,2852,2687,2022-08-13,L - Yazmin Jauregui,2025-08-09,W - Angela Hill,NA,NA
Alexia Thainara,1995-11-20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,female,women's strawweight,13,NA,16,NA,13,16,3,3,0 KO 1 Sub 2 Dec,0,0 KO 0 Sub 0 Dec,3,3,1,9.7,2851,2851,2590,2025-03-22,W - Molly McCann,2026-03-28,W - Bruna Brasil,NA,NA
Alonzo Menifield,1987-10-18,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,light heavyweight,15,NA,16,NA,11,16,17,10,4 KO 2 Sub 4 Dec,6,4 KO 0 Sub 2 Dec,-1,2,2,6.4,2849,3021,2780,2019-01-19,W - Vinicius Moreira,2025-11-22,L - Volkan Oezdemir,2026-05-30,Zhang Mingyang
Jonathan Micallef,1999-03-05,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Australia,male,welterweight,16,NA,16,NA,16,16,3,3,0 KO 1 Sub 2 Dec,0,0 KO 0 Sub 0 Dec,3,3,0,10.7,2848,2858,2729,2025-02-08,W - Kevin Jousset,2026-05-02,W - Themba Gorimbo,NA,NA
Jimmy Crute,1996-03-04,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Australia,male,light heavyweight,16,NA,16,NA,12,16,12,6,2 KO 4 Sub 0 Dec,4,2 KO 2 Sub 0 Dec,2,2,3,5.1,2848,2937,2777,2018-12-01,W - Paul Craig,2025-09-28,W - Ivan Erslan,NA,NA
Gokhan Saricam,1991-02-26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Belgium, Turkey",male,heavyweight,16,NA,16,NA,16,16,1,1,1 KO 0 Sub 0 Dec,0,0 KO 0 Sub 0 Dec,1,1,0,8,2848,2848,2670,2026-04-18,W - Tanner Boser,2026-04-18,W - Tanner Boser,NA,NA
Chris Curtis,1987-07-15,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"welterweight, middleweight",16,NA,16,NA,13,16,12,6,3 KO 0 Sub 3 Dec,5,1 KO 0 Sub 4 Dec,-1,3,4,5.4,2847,3123,2962,2021-11-06,W - Phil Hawes,2026-03-14,L - Myktybek Orolbai,NA,NA
Andreas Gustafsson,1991-02-20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Sweden,male,welterweight,16,NA,16,NA,16,16,2,1,0 KO 0 Sub 1 Dec,1,1 KO 0 Sub 0 Dec,-1,1,0,10.5,2847,2876,3011,2025-06-07,W - Khaos Williams,2025-09-06,L - Rinat Fakhretdinov,2026-06-27,Daniil Donchenko
Brady Hiestand,1999-04-30,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,bantamweight,16,NA,16,NA,16,16,4,3,1 KO 1 Sub 1 Dec,1,0 KO 0 Sub 1 Dec,3,3,1,7,2846,2846,2629,2021-08-28,L - Ricky Turcios,2024-06-15,W - Garrett Armfield,NA,NA
Ricky Simon,1992-08-31,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,bantamweight,16,NA,16,NA,9,16,17,10,2 KO 3 Sub 5 Dec,6,2 KO 0 Sub 4 Dec,0,5,4,6.5,2846,3149,2841,2018-04-21,W - Merab Dvalishvili,2026-03-28,D - Adrian Yanez,NA,NA
Rodrigo Vera,1995-10-18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Peru,male,featherweight,16,NA,16,NA,16,16,0,NA,NA,NA,NA,NA,NA,0,NA,2846,NA,2693,NA,NA,NA,NA,2026-05-30,Zhu Kangjie
Seokhyeon Ko,1993-09-24,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,South Korea,male,welterweight,16,NA,16,NA,16,16,2,2,0 KO 0 Sub 2 Dec,0,0 KO 0 Sub 0 Dec,2,2,0,9.5,2844,2844,2905,2025-06-21,W - Oban Elliott,2025-11-01,W - Phil Rowe,NA,NA
Adrian Yanez,1993-11-29,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,bantamweight,16,NA,16,NA,12,16,10,6,5 KO 0 Sub 1 Dec,3,2 KO 0 Sub 1 Dec,0,5,5,5.4,2843,2923,2774,2020-10-31,W - Victor Rodriguez,2026-03-28,D - Ricky Simon,2026-07-11,Cody Garbrandt
Zhang Mingyang,1998-08-16,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,China,male,light heavyweight,16,NA,16,NA,13,16,4,3,3 KO 0 Sub 0 Dec,1,1 KO 0 Sub 0 Dec,-1,3,3,4.5,2843,2940,2781,2024-02-17,W - Brendson Ribeiro,2025-08-23,L - Johnny Walker,2026-05-30,Alonzo Menifield
Louis Lee Scott,2000-02-26,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"United Kingdom, England",male,bantamweight,16,NA,16,NA,16,16,0,NA,NA,NA,NA,NA,NA,NA,NA,2842,NA,NA,NA,NA,NA,NA,NA,NA
Victor Henry,1987-05-04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,bantamweight,16,NA,16,NA,16,16,7,4,1 KO 0 Sub 3 Dec,2,0 KO 1 Sub 1 Dec,1,1,0,7.6,2841,2989,2832,2022-01-22,W - Raoni Barcelos,2025-04-05,W - Pedro Falcao,2026-06-06,Bryce Mitchell
Mick Parkin,1995-10-02,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"United Kingdom, England",male,heavyweight,16,NA,16,NA,12,16,5,4,1 KO 0 Sub 3 Dec,1,0 KO 0 Sub 1 Dec,-1,4,1,11,2840,2903,2772,2023-07-22,W - Jamal Pogues,2025-03-22,L - Marcin Tybura,NA,NA
Ante Delija,1990-08-07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Croatia,male,heavyweight,11,NA,16,NA,9,16,3,1,1 KO 0 Sub 0 Dec,2,1 KO 0 Sub 1 Dec,-2,1,1,4.7,2838,3058,3011,2025-09-06,W - Marcin Tybura,2026-02-21,L - Serghei Spivac,NA,NA
Charles Johnson,1991-01-10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,flyweight,14,NA,16,NA,12,16,14,8,3 KO 0 Sub 5 Dec,6,1 KO 0 Sub 5 Dec,1,4,3,8.4,2837,2954,2773,2022-07-23,L - Muhammad Mokaev,2026-03-14,W - Bruno Gustavo da Silva,2026-06-27,Asu Almabayev
Marvin Vettori,1993-09-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Italy,male,middleweight,16,NA,16,NA,2,16,18,9,0 KO 2 Sub 7 Dec,8,0 KO 0 Sub 8 Dec,-4,5,4,4.9,2837,3266,2974,2016-08-20,W - Alberto Uda,2025-12-06,L - Brunno Ferreira,NA,NA
Irene Aldana,1988-03-26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Mexico,female,women's bantamweight,7,NA,16,NA,2,12,14,8,3 KO 1 Sub 4 Dec,6,0 KO 0 Sub 6 Dec,-1,3,5,6.3,2834,2915,2692,2016-12-17,L - Leslie Smith,2024-09-14,L - Norma Dumont,NA,NA
Fatima Kline,2000-07-12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,female,women's strawweight,11,NA,16,NA,11,16,4,3,2 KO 0 Sub 1 Dec,1,0 KO 0 Sub 1 Dec,3,3,1,11.2,2832,2832,2649,2024-07-13,L - Jasmine Jasudavicius,2025-11-15,W - Angela Hill,2026-07-18,Amanda Ribas
Marwan Rahiki,2002-05-10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Morocco,male,featherweight,16,NA,16,NA,16,16,2,2,2 KO 0 Sub 0 Dec,0,0 KO 0 Sub 0 Dec,2,2,1,4,2832,2832,2564,2026-03-14,W - Harry Hardwick,2026-05-02,W - Ollie Schmid,NA,NA
Calvin Kattar,1988-03-26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,featherweight,16,NA,16,NA,4,16,15,7,4 KO 0 Sub 3 Dec,8,1 KO 0 Sub 7 Dec,-5,2,5,3.7,2831,3201,3024,2017-07-29,W - Andre Fili,2025-07-12,L - Steve Garcia,NA,NA
Tallison Teixeira,1999-12-07,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,heavyweight,15,NA,16,NA,11,16,3,2,1 KO 0 Sub 1 Dec,1,1 KO 0 Sub 0 Dec,1,1,1,2.7,2829,2829,2944,2025-02-08,W - Justin Tafa,2026-02-01,W - Tai Tuivasa,2026-05-30,Sergei Pavlovich
Marcin Tybura,1985-11-09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Poland,male,heavyweight,12,NA,16,NA,7,16,24,14,5 KO 1 Sub 8 Dec,10,5 KO 1 Sub 4 Dec,-2,5,4,5.1,2827,3144,2873,2016-04-10,L - Tim Johnson,2026-03-28,L - Tyrell Fortune,NA,NA
Muin Gafurov,1996-05-17,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Tajikistan,male,bantamweight,16,NA,16,NA,16,16,5,2,0 KO 0 Sub 2 Dec,3,0 KO 2 Sub 1 Dec,-1,2,0,9.2,2826,2881,2859,2023-06-03,L - John Castaneda,2026-02-07,L - Jakub Wiklacz,NA,NA
Piera Rodriguez,1992-11-11,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Venezuela,female,women's strawweight,16,NA,16,NA,16,16,7,5,0 KO 0 Sub 5 Dec,2,0 KO 1 Sub 0 Dec,3,3,0,11.3,2823,2823,2634,2022-04-09,W - Kay Hansen,2026-03-14,W - Sam Hughes,NA,NA
Rafael Estevam,1996-08-10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,flyweight,16,NA,16,NA,15,16,4,3,0 KO 0 Sub 3 Dec,1,1 KO 0 Sub 0 Dec,-1,3,0,9.2,2822,2963,2733,2023-11-18,W - Charles Johnson,2026-04-04,L - Ethyn Ewing,NA,NA
Andre Lima,1999-02-04,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,flyweight,16,NA,16,NA,16,16,4,4,0 KO 1 Sub 2 Dec,0,0 KO 0 Sub 0 Dec,4,4,2,10.8,2822,2822,2578,2024-03-23,W - Igor Severino,2025-03-15,W - Daniel Barez,2026-06-20,Kevin Borjas
Ismail Naurdiev,1996-08-18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Austria, Morocco, Russia",male,middleweight,16,NA,16,NA,16,16,7,4,1 KO 0 Sub 3 Dec,3,0 KO 0 Sub 3 Dec,1,1,0,10.7,2820,2893,2857,2019-02-23,W - Michel Prazeres,2025-11-22,W - Ryan Loder,NA,NA
Marcio Barbosa,1998-05-22,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,featherweight,16,NA,16,NA,16,16,1,1,1 KO 0 Sub 0 Dec,0,0 KO 0 Sub 0 Dec,1,1,1,6,2816,2816,2572,2026-04-18,W - Dennis Buzukja,2026-04-18,W - Dennis Buzukja,NA,NA
Tabatha Ricci,1995-02-21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,female,women's strawweight,8,NA,16,NA,7,16,11,7,1 KO 1 Sub 5 Dec,4,1 KO 0 Sub 3 Dec,-1,4,0,6.9,2815,2916,2723,2021-06-05,L - Manon Fiorot,2026-04-04,L - Virna Jandiroba,NA,NA
Charles Radtke,1990-07-09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,16,NA,16,NA,16,16,7,5,2 KO 1 Sub 2 Dec,2,2 KO 0 Sub 0 Dec,2,2,1,7.9,2814,2814,2645,2023-09-09,W - Blood Diamond,2026-04-11,W - Francisco Prado,NA,NA
Sumudaerji,1996-01-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,China,male,flyweight,16,NA,16,NA,11,16,10,6,1 KO 0 Sub 5 Dec,4,0 KO 3 Sub 1 Dec,3,3,2,7.3,2812,2812,2687,2018-11-24,L - Louis Smolka,2026-03-07,W - Jesus Aguilar,2026-05-30,Alex Perez
Rob Font,1987-06-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Puerto Rico, United States",male,bantamweight,16,NA,16,NA,3,16,21,12,6 KO 1 Sub 5 Dec,9,0 KO 1 Sub 8 Dec,-2,4,5,4.3,2812,3214,2935,2014-07-05,W - George Roop,2026-03-07,L - Raul Rosas Jr.,NA,NA
Kyler Phillips,1995-06-12,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,bantamweight,16,NA,16,NA,10,16,10,6,1 KO 1 Sub 4 Dec,4,0 KO 0 Sub 4 Dec,-3,3,4,5.3,2812,3076,2846,2020-02-29,W - Gabriel Silva,2026-04-18,L - Charles Jourdain,NA,NA
Abdul-Kareem Al-Selwady,1995-04-10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Palestine, United States",male,lightweight,16,NA,16,NA,16,16,2,1,0 KO 0 Sub 1 Dec,1,1 KO 0 Sub 0 Dec,1,1,0,11.5,2812,2812,2751,2024-03-02,L - Loik Radzhabov,2026-03-21,W - Shem Rock,NA,NA
Michael Johnson,1986-06-04,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,lightweight,16,NA,16,NA,5,16,32,16,6 KO 0 Sub 10 Dec,16,4 KO 5 Sub 7 Dec,-1,4,6,4.8,2812,3055,2789,2010-12-04,L - Jonathan Brookins,2026-03-07,L - Drew Dober,NA,NA
Juan Diaz,1998-06-03,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Argentina, Mexico, Peru",male,bantamweight,16,NA,16,NA,16,16,0,NA,NA,NA,NA,NA,NA,0,NA,2811,NA,2678,NA,NA,NA,NA,2026-05-16,Malcolm Wellmaker
Abdul Rakhman Yakhyaev,2001-01-03,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Russia, Turkey",male,light heavyweight,16,NA,16,NA,16,16,2,2,0 KO 2 Sub 0 Dec,0,0 KO 0 Sub 0 Dec,2,2,0,6.5,2810,2810,2566,2025-11-22,W - Rafael Cerqueira,2026-04-04,W - Brendson Ribeiro,2026-06-27,Julius Walker
Morgan Charriere,1995-10-26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"France, NA",male,featherweight,16,NA,16,NA,16,16,6,3,3 KO 0 Sub 0 Dec,3,1 KO 0 Sub 2 Dec,-1,1,4,4.7,2809,2849,2793,2023-09-02,W - Manolo Zecchini,2025-12-13,L - Melquizael Costa,NA,NA
Joaquim Silva,1989-02-05,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,lightweight,16,NA,16,NA,16,16,12,7,3 KO 0 Sub 4 Dec,5,3 KO 0 Sub 2 Dec,1,3,2,7.4,2808,2808,2775,2015-09-05,W - Nazareno Malegarie,2025-09-13,W - Claudio Puelles,NA,NA
Carlston Harris,1987-07-09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Brazil, Guyana",male,welterweight,16,NA,16,NA,16,16,7,4,1 KO 2 Sub 1 Dec,3,3 KO 0 Sub 0 Dec,-2,2,2,7,2804,3054,2849,2021-05-08,W - Christian Aguilera,2025-01-11,L - Santiago Ponzinibbio,NA,NA
Bruno Gustavo da Silva,1990-03-16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,flyweight,15,NA,16,NA,12,16,11,5,3 KO 2 Sub 0 Dec,5,2 KO 0 Sub 3 Dec,-1,4,4,8.5,2803,2912,2762,2019-10-05,NC - Khalid Taha,2026-03-14,L - Charles Johnson,2026-06-06,Edgar Chairez
Mateusz Rebecki,1992-10-03,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Poland,male,lightweight,16,NA,16,NA,16,16,8,4,1 KO 1 Sub 2 Dec,4,1 KO 1 Sub 2 Dec,-3,3,3,6.8,2803,3136,2897,2023-01-14,W - Nick Fiore,2026-05-09,L - Grant Dawson,NA,NA
Jose Delgado,1998-04-21,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,featherweight,16,NA,16,NA,16,16,4,3,2 KO 0 Sub 1 Dec,1,0 KO 0 Sub 1 Dec,1,2,0,6.5,2801,2825,2775,2025-02-15,W - Connor Matthews,2026-03-14,W - Andre Fili,NA,NA
Kyle Nelson,1991-04-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Canada,male,"lightweight, featherweight",16,NA,16,NA,16,16,12,5,2 KO 0 Sub 3 Dec,6,4 KO 1 Sub 1 Dec,-1,3,0,7.1,2801,2963,2785,2018-12-08,L - Diego Ferreira,2026-03-28,L - Terrance McKinney,NA,NA
Said Nurmagomedov,1992-04-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Russia,male,bantamweight,16,NA,16,NA,12,16,11,7,2 KO 3 Sub 2 Dec,4,0 KO 0 Sub 4 Dec,-2,4,3,7.1,2800,3100,2829,2018-07-14,W - Justin Scoggins,2025-07-26,L - Bryce Mitchell,NA,NA
